工作表,怪物ID,Excel行,物品名,E原始输入或展开公式,候选分数,需补字段,处置
赤月恶魔,180,111,圣战戒指,'=1/10,1/10,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
赤月恶魔,180,112,圣战手镯,'=1/10,1/10,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
赤月恶魔,180,113,圣战项链,'=1/10,1/10,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
赤月恶魔,180,114,法神戒指,'=1/10,1/10,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
赤月恶魔,180,115,法神手镯,'=1/10,1/10,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
赤月恶魔,180,116,法神项链,'=1/10,1/10,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
赤月恶魔,180,117,法神头盔,'=1/10,1/10,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
赤月恶魔,180,118,圣战头盔,'=1/10,1/10,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,82,三眼手镯,'=1/25,1/25,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,83,力量戒指,'=1/25,1/25,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,84,恶魔铃铛,'=1/25,1/25,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,85,泰坦戒指,'=1/25,1/25,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,86,灵魂项链,'=1/25,1/25,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,87,紫碧螺,'=1/25,1/25,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,88,绿色项链,'=1/25,1/25,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,89,骑士手镯,'=1/25,1/25,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,90,龙之手镯,'=1/25,1/25,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,91,井中月,'=1/40,1/40,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,92,无极棍,'=1/40,1/40,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,93,狂风项链,'=1/40,1/40,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,94,阎罗手套,'=1/40,1/40,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,95,裁决之杖,'=1/60,1/60,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,96,骨玉权杖,'=1/60,1/60,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,97,龙纹剑,'=1/60,1/60,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
祖玛卫士00,159,98,黑铁头盔,'=1/80,1/80,精确物品身份、奖励类型、稳定新槽UID、overflow_priority、protected_drop,只做精确权威匹配；不能丢弃、猜ID或恢复其他已删奖励
