工作表,怪物ID,单元格,物品名,OOXML原始数字,候选精确分数,与候选float是否一致,候选性质
沃玛战将,68,E33,青铜头盔,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E34,青铜斧,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E35,魔法手镯,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E36,魔鬼项链,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E37,黄色水晶项链,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E38,黑檀项链,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛战将,68,E39,黑色水晶项链,2.5000000000000001E-2,1/40,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
火焰沃玛,70,E16,太阳水,0.2,1/5,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
火焰沃玛,70,E17,金创药(中量),0.2,1/5,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
火焰沃玛,70,E18,魔法药(中量),0.2,1/5,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
恶灵僵尸,196,E24,金创药(中量),0.2,1/5,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
恶灵僵尸,196,E25,魔法药(中量),0.2,1/5,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
恶灵僵尸,196,E26,心灵启示,5.0000000000000001E-3,1/200,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
骷髅长枪兵,202,E50,万年雪霜,0.1,1/10,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
骷髅长枪兵,202,E51,太阳水,0.2,1/5,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
骷髅长枪兵,202,E52,金币,2E-3,1/500,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
骷髅刀斧手,204,E19,万年雪霜,0.1,1/10,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
虹魔蝎卫,191,E45,龙之戒指,0.05,1/20,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
虹魔蝎卫,191,E46,召唤神兽,0.05,1/20,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
虹魔蝎卫,191,E47,烈火剑法,0.05,1/20,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
虹魔蝎卫,191,E48,冰咆哮,0.05,1/20,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
虹魔蝎卫,191,E49,炼狱,0.05,1/20,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
虹魔蝎卫,191,E50,银蛇,0.05,1/20,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
虹魔蝎卫,191,E51,魔杖,0.05,1/20,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛教主,76,E36,祝福油,1,1/1,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
沃玛教主,76,E72,野蛮冲撞,0.2,1/5,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头血魔,162,E77,天尊戒指,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头血魔,162,E78,天尊手镯,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头血魔,162,E79,天尊项链,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头血魔,162,E80,天尊头盔,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头血魔,162,E95,圣战头盔,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E73,法神戒指,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E74,法神手镯,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E75,法神项链,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E76,圣战戒指,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E77,圣战手镯,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E78,圣战项链,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E79,圣战头盔,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E80,天尊戒指,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E81,天尊手镯,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E82,天尊项链,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E83,天尊头盔,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
双头金刚,163,E96,法神头盔,8.3333333333333329E-2,1/12,True,推导候选，非原公式；仅限当前源文件SHA的逐格归一化清单
