工作表,怪物ID,Excel行,物品名,B物品ID,C奖励类型,D金币金额,E公式或原数字,E表示类型,数值候选或公式精确分数,F显示来源,G历史构成,H原槽字段
多钩猫,24,9,匕首,81,物品,,'=1/20,exact_formula,1/20,'=E9,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m24.slot_008
多钩猫,24,10,古铜戒指,197,物品,,'=1/20,exact_formula,1/20,'=E10,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m24.slot_005
多钩猫,24,11,布衣(男),116,物品,,'=1/20,exact_formula,1/20,'=E11,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m24.slot_011
多钩猫,24,13,木剑,80,物品,,'=1/20,exact_formula,1/20,'=E13,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m24.slot_009
多钩猫,24,14,金项链,153,物品,,'=1/20,exact_formula,1/20,'=E14,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m24.slot_006
多钩猫,24,15,铁手镯,174,物品,,'=1/20,exact_formula,1/20,'=E15,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m24.slot_004
多钩猫,24,16,魔法头盔,148,物品,,'=1/20,exact_formula,1/20,'=E16,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m24.slot_002
多钩猫,24,17,体力强效神水,910001,物品,,'=1/60,exact_formula,1/60,'=E17,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m24.slot_012
多钩猫,24,18,攻击神水,910004,物品,,'=1/60,exact_formula,1/60,'=E18,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m24.slot_014
多钩猫,24,19,疾风神水,910003,物品,,'=1/60,exact_formula,1/60,'=E19,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m24.slot_013
钉耙猫,26,6,金币,,金币,250,'=1/4,exact_formula,1/4,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m26.slot_001
钉耙猫,26,7,乌木剑,82,物品,,'=1/20,exact_formula,1/20,'=E7,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m26.slot_006
钉耙猫,26,8,传统项链,154,物品,,'=1/20,exact_formula,1/20,'=E8,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m26.slot_002
钉耙猫,26,9,匕首,81,物品,,'=1/20,exact_formula,1/20,'=E9,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m26.slot_007
钉耙猫,26,10,古铜戒指,197,物品,,'=1/20,exact_formula,1/20,'=E10,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m26.slot_004
钉耙猫,26,11,布衣(男),116,物品,,'=1/20,exact_formula,1/20,'=E11,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m26.slot_010
钉耙猫,26,13,木剑,80,物品,,'=1/20,exact_formula,1/20,'=E13,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m26.slot_008
钉耙猫,26,14,金项链,153,物品,,'=1/20,exact_formula,1/20,'=E14,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m26.slot_005
钉耙猫,26,15,铁手镯,174,物品,,'=1/20,exact_formula,1/20,'=E15,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m26.slot_003
钉耙猫,26,16,体力强效神水,910001,物品,,'=1/60,exact_formula,1/60,'=E16,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m26.slot_011
钉耙猫,26,17,攻击神水,910004,物品,,'=1/60,exact_formula,1/60,'=E17,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m26.slot_013
钉耙猫,26,18,疾风神水,910003,物品,,'=1/60,exact_formula,1/60,'=E18,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m26.slot_012
森林雪人,28,6,金币,,金币,350,'=1/4,exact_formula,1/4,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m28.slot_001
森林雪人,28,7,金创药(小量),920045,物品,,'=1/5,exact_formula,1/5,'=E7,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m28.slot_002
森林雪人,28,8,魔法药(小量),920053,物品,,'=1/5,exact_formula,1/5,'=E8,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m28.slot_003
森林雪人,28,9,乌木剑,82,物品,,'=1/20,exact_formula,1/20,'=E9,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m28.slot_018
森林雪人,28,10,传统项链,154,物品,,'=1/20,exact_formula,1/20,'=E10,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m28.slot_022
森林雪人,28,11,匕首,81,物品,,'=1/20,exact_formula,1/20,'=E11,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m28.slot_017
森林雪人,28,12,古铜戒指,197,物品,,'=1/20,exact_formula,1/20,'=E12,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m28.slot_020
森林雪人,28,13,布衣(男),116,物品,,'=1/20,exact_formula,1/20,'=E13,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m28.slot_014
森林雪人,28,15,木剑,80,物品,,'=1/20,exact_formula,1/20,'=E15,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m28.slot_016
森林雪人,28,16,金项链,153,物品,,'=1/20,exact_formula,1/20,'=E16,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m28.slot_019
森林雪人,28,17,铁手镯,174,物品,,'=1/20,exact_formula,1/20,'=E17,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m28.slot_021
森林雪人,28,18,六角戒指,198,物品,,'=1/20,exact_formula,1/20,'=E18,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m28.slot_008
森林雪人,28,19,大手镯,179,物品,,'=1/20,exact_formula,1/20,'=E19,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m28.slot_013
森林雪人,28,20,小手镯,175,物品,,'=1/20,exact_formula,1/20,'=E20,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m28.slot_006
森林雪人,28,21,牛角戒指,200,物品,,'=1/20,exact_formula,1/20,'=E21,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m28.slot_012
森林雪人,28,22,玻璃戒指,199,物品,,'=1/20,exact_formula,1/20,'=E22,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m28.slot_007
森林雪人,28,23,皮制手套,177,物品,,'=1/20,exact_formula,1/20,'=E23,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m28.slot_009
森林雪人,28,24,钢手镯,178,物品,,'=1/20,exact_formula,1/20,'=E24,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m28.slot_011
森林雪人,28,25,银手镯,176,物品,,'=1/20,exact_formula,1/20,'=E25,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m28.slot_010
森林雪人,28,26,青铜剑,83,物品,,'=1/20,exact_formula,1/20,'=E26,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m28.slot_005
森林雪人,28,27,太阳水,920014,物品,,'=1/5,exact_formula,1/5,'=E27,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m28.slot_004
森林雪人,28,28,体力强效神水,910001,物品,,'=1/60,exact_formula,1/60,'=E28,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m28.slot_025
森林雪人,28,29,攻击神水,910004,物品,,'=1/60,exact_formula,1/60,'=E29,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m28.slot_023
森林雪人,28,30,疾风神水,910003,物品,,'=1/60,exact_formula,1/60,'=E30,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m28.slot_024
半兽人,34,6,金币,,金币,500,'=1/2,exact_formula,1/2,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m34.slot_001
半兽人,34,7,乌木剑,82,物品,,'=1/30,exact_formula,1/30,'=E7,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_016
半兽人,34,8,传统项链,154,物品,,'=1/30,exact_formula,1/30,'=E8,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_020
半兽人,34,9,匕首,81,物品,,'=1/30,exact_formula,1/30,'=E9,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_015
半兽人,34,10,古铜戒指,197,物品,,'=1/30,exact_formula,1/30,'=E10,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_018
半兽人,34,11,布衣(男),116,物品,,'=1/30,exact_formula,1/30,'=E11,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_012
半兽人,34,13,木剑,80,物品,,'=1/30,exact_formula,1/30,'=E13,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_014
半兽人,34,14,金项链,153,物品,,'=1/30,exact_formula,1/30,'=E14,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_017
半兽人,34,15,铁手镯,174,物品,,'=1/30,exact_formula,1/30,'=E15,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_019
半兽人,34,16,体力强效神水,910001,物品,,'=1/60,exact_formula,1/60,'=E16,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m34.slot_023
半兽人,34,17,攻击神水,910004,物品,,'=1/60,exact_formula,1/60,'=E17,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m34.slot_021
半兽人,34,18,疾风神水,910003,物品,,'=1/60,exact_formula,1/60,'=E18,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m34.slot_022
半兽人,34,19,六角戒指,198,物品,,'=1/30,exact_formula,1/30,'=E19,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_006
半兽人,34,20,大手镯,179,物品,,'=1/30,exact_formula,1/30,'=E20,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_011
半兽人,34,21,小手镯,175,物品,,'=1/30,exact_formula,1/30,'=E21,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_004
半兽人,34,22,牛角戒指,200,物品,,'=1/30,exact_formula,1/30,'=E22,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_010
半兽人,34,23,玻璃戒指,199,物品,,'=1/30,exact_formula,1/30,'=E23,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_005
半兽人,34,24,皮制手套,177,物品,,'=1/30,exact_formula,1/30,'=E24,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_007
半兽人,34,25,钢手镯,178,物品,,'=1/30,exact_formula,1/30,'=E25,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_009
半兽人,34,26,银手镯,176,物品,,'=1/30,exact_formula,1/30,'=E26,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_008
半兽人,34,27,青铜剑,83,物品,,'=1/30,exact_formula,1/30,'=E27,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m34.slot_003
半兽人,34,28,金币,,金币,5000,'=1/100,exact_formula,1/100,'=E28,SPB:BYPASS_GOLD,dpv2.direct.m34.slot_002
半兽战士,36,6,金币,,金币,1000,'=1/4,exact_formula,1/4,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m36.slot_001
半兽战士,36,7,乌木剑,82,物品,,'=1/30,exact_formula,1/30,'=E7,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_006
半兽战士,36,8,传统项链,154,物品,,'=1/30,exact_formula,1/30,'=E8,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_002
半兽战士,36,9,六角戒指,198,物品,,'=1/30,exact_formula,1/30,'=E9,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_016
半兽战士,36,10,匕首,81,物品,,'=1/30,exact_formula,1/30,'=E10,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_007
半兽战士,36,11,古铜戒指,197,物品,,'=1/30,exact_formula,1/30,'=E11,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_004
半兽战士,36,12,大手镯,179,物品,,'=1/30,exact_formula,1/30,'=E12,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_011
半兽战士,36,13,小手镯,175,物品,,'=1/30,exact_formula,1/30,'=E13,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_018
半兽战士,36,14,布衣(男),116,物品,,'=1/30,exact_formula,1/30,'=E14,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_010
半兽战士,36,16,木剑,80,物品,,'=1/30,exact_formula,1/30,'=E16,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_008
半兽战士,36,17,牛角戒指,200,物品,,'=1/30,exact_formula,1/30,'=E17,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_012
半兽战士,36,18,玻璃戒指,199,物品,,'=1/30,exact_formula,1/30,'=E18,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_017
半兽战士,36,19,皮制手套,177,物品,,'=1/30,exact_formula,1/30,'=E19,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_015
半兽战士,36,20,金项链,153,物品,,'=1/30,exact_formula,1/30,'=E20,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_005
半兽战士,36,21,钢手镯,178,物品,,'=1/30,exact_formula,1/30,'=E21,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_013
半兽战士,36,22,铁手镯,174,物品,,'=1/30,exact_formula,1/30,'=E22,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_003
半兽战士,36,23,银手镯,176,物品,,'=1/30,exact_formula,1/30,'=E23,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_014
半兽战士,36,24,青铜剑,83,物品,,'=1/30,exact_formula,1/30,'=E24,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m36.slot_019
半兽战士,36,25,短剑,84,物品,,'=1/30,exact_formula,1/30,'=E25,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m36.slot_027
半兽战士,36,26,轻型盔甲(男),118,物品,,'=1/30,exact_formula,1/30,'=E26,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m36.slot_026
半兽战士,36,27,轻型盔甲(男),119,物品,,'=1/30,exact_formula,1/30,'=E27,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m36.slot_025
半兽战士,36,28,铁剑,85,物品,,'=1/30,exact_formula,1/30,'=E28,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m36.slot_028
半兽战士,36,29,青铜头盔,147,物品,,'=1/30,exact_formula,1/30,'=E29,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m36.slot_020
半兽战士,36,30,青铜斧,87,物品,,'=1/30,exact_formula,1/30,'=E30,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m36.slot_024
半兽战士,36,31,黄色水晶项链,158,物品,,'=1/30,exact_formula,1/30,'=E31,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m36.slot_022
半兽战士,36,32,黑檀项链,157,物品,,'=1/30,exact_formula,1/30,'=E32,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m36.slot_023
半兽战士,36,33,黑色水晶项链,156,物品,,'=1/30,exact_formula,1/30,'=E33,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m36.slot_021
山洞蝙蝠,43,6,金币,,金币,250,'=1/4,exact_formula,1/4,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m43.slot_001
山洞蝙蝠,43,7,金创药(小量),920045,物品,,'=1/5,exact_formula,1/5,'=E7,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m43.slot_002
山洞蝙蝠,43,8,魔法药(小量),920053,物品,,'=1/5,exact_formula,1/5,'=E8,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m43.slot_003
山洞蝙蝠,43,9,回城卷,920007,物品,,'=1/10,exact_formula,1/10,'=E9,SPB:BYPASS_UNCLASSIFIED,dpv2.direct.m43.slot_004
山洞蝙蝠,43,10,疾风神水,910003,物品,,'=1/60,exact_formula,1/60,'=E10,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m43.slot_007
山洞蝙蝠,43,11,精神神水,910006,物品,,'=1/60,exact_formula,1/60,'=E11,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m43.slot_006
山洞蝙蝠,43,12,魔力神水,910005,物品,,'=1/60,exact_formula,1/60,'=E12,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m43.slot_005
洞蛆,46,7,麻痹戒指,252,物品,,'=1/1000,exact_formula,1/1000,'=E7,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m46.slot_002
骷髅,47,6,金币,,金币,1000,'=1/3,exact_formula,1/3,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m47.slot_001
骷髅,47,7,六角戒指,198,物品,,'=1/30,exact_formula,1/30,'=E7,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_005
骷髅,47,8,大手镯,179,物品,,'=1/30,exact_formula,1/30,'=E8,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_010
骷髅,47,9,小手镯,175,物品,,'=1/30,exact_formula,1/30,'=E9,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_003
骷髅,47,10,牛角戒指,200,物品,,'=1/30,exact_formula,1/30,'=E10,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_009
骷髅,47,11,玻璃戒指,199,物品,,'=1/30,exact_formula,1/30,'=E11,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_004
骷髅,47,12,皮制手套,177,物品,,'=1/30,exact_formula,1/30,'=E12,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_006
骷髅,47,13,钢手镯,178,物品,,'=1/30,exact_formula,1/30,'=E13,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_008
骷髅,47,14,银手镯,176,物品,,'=1/30,exact_formula,1/30,'=E14,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_007
骷髅,47,15,青铜剑,83,物品,,'=1/30,exact_formula,1/30,'=E15,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_002
骷髅,47,16,体力强效神水,910001,物品,,'=1/60,exact_formula,1/60,'=E16,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m47.slot_013
骷髅,47,17,攻击神水,910004,物品,,'=1/60,exact_formula,1/60,'=E17,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m47.slot_011
骷髅,47,18,短剑,84,物品,,'=1/30,exact_formula,1/30,'=E18,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_016
骷髅,47,19,轻型盔甲(男),118,物品,,'=1/30,exact_formula,1/30,'=E19,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_017
骷髅,47,21,铁剑,85,物品,,'=1/30,exact_formula,1/30,'=E21,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_015
骷髅,47,22,青铜头盔,147,物品,,'=1/30,exact_formula,1/30,'=E22,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_023
骷髅,47,23,青铜斧,87,物品,,'=1/30,exact_formula,1/30,'=E23,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_019
骷髅,47,24,魔力强效神水,910002,物品,,'=1/30,exact_formula,1/30,'=E24,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m47.slot_014
骷髅,47,25,魔力神水,910005,物品,,'=1/30,exact_formula,1/30,'=E25,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m47.slot_012
骷髅,47,26,黄色水晶项链,158,物品,,'=1/30,exact_formula,1/30,'=E26,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_021
骷髅,47,27,黑檀项链,157,物品,,'=1/30,exact_formula,1/30,'=E27,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_020
骷髅,47,28,黑色水晶项链,156,物品,,'=1/30,exact_formula,1/30,'=E28,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_022
骷髅,47,29,八荒,89,物品,,'=1/40,exact_formula,1/40,'=E29,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_024
骷髅,47,30,凌风,92,物品,,'=1/40,exact_formula,1/40,'=E30,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_027
骷髅,47,31,凤凰明珠,163,物品,,'=1/40,exact_formula,1/40,'=E31,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_031
骷髅,47,32,半月,91,物品,,'=1/40,exact_formula,1/40,'=E32,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_025
骷髅,47,33,坚固手套,182,物品,,'=1/40,exact_formula,1/40,'=E33,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_032
骷髅,47,34,海魂,90,物品,,'=1/40,exact_formula,1/40,'=E34,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_026
骷髅,47,35,灯笼项链,164,物品,,'=1/40,exact_formula,1/40,'=E35,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_034
骷髅,47,36,琥珀项链,162,物品,,'=1/40,exact_formula,1/40,'=E36,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_030
骷髅,47,37,蓝色水晶戒指,202,物品,,'=1/40,exact_formula,1/40,'=E37,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_028
骷髅,47,38,魔法手镯,183,物品,,'=1/40,exact_formula,1/40,'=E38,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_033
骷髅,47,39,魔鬼项链,161,物品,,'=1/40,exact_formula,1/40,'=E39,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m47.slot_029
骷髅战士,52,6,金币,,金币,1000,'=1/2,exact_formula,1/2,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m52.slot_001
骷髅战士,52,7,金创药(小量),920045,物品,,'=1/15,exact_formula,1/15,'=E7,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m52.slot_002
骷髅战士,52,8,魔法药(小量),920053,物品,,'=1/25,exact_formula,1/25,'=E8,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m52.slot_003
骷髅战士,52,9,六角戒指,198,物品,,'=1/30,exact_formula,1/30,'=E9,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m52.slot_027
骷髅战士,52,10,大手镯,179,物品,,'=1/30,exact_formula,1/30,'=E10,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m52.slot_032
骷髅战士,52,11,小手镯,175,物品,,'=1/30,exact_formula,1/30,'=E11,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m52.slot_025
骷髅战士,52,12,牛角戒指,200,物品,,'=1/30,exact_formula,1/30,'=E12,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪装备分母x3,dpv2.direct.m52.slot_031
