工作表,怪物ID,Excel行,展示名,源物品ID,单槽概率,独立槽个数,代表槽ID,尚缺信息
骷髅精灵,56,12,太阳水 ×5,920014,1/2,5,dpv2.direct.m56.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
骷髅精灵,56,14,强效太阳水 ×3,920016,1/2,3,dpv2.direct.m56.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
骷髅精灵,56,21,金创药(中量) ×2,920044,1/2,2,dpv2.direct.m56.slot_027,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
骷髅精灵,56,25,魔法药(中量) ×2,920052,1/2,2,dpv2.direct.m56.slot_032,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
骷髅精灵,56,37,太阳水 ×6,920014,1/4,6,dpv2.direct.m56.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
骷髅精灵,56,38,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m56.slot_011,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛卫士,73,8,金创药(中量) ×2,920044,1/1,2,dpv2.direct.m73.slot_010,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛卫士,73,10,魔法药(中量) ×2,920052,1/1,2,dpv2.direct.m73.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛卫士,73,11,太阳水 ×5,920014,1/2,5,dpv2.direct.m73.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛卫士,73,12,强效太阳水 ×3,920016,1/2,3,dpv2.direct.m73.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛卫士,73,13,超级金创药 ×2,920017,1/2,2,dpv2.direct.m73.slot_023,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛卫士,73,14,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m73.slot_025,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛卫士,73,30,太阳水 ×5,920014,1/4,5,dpv2.direct.m73.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛卫士,73,31,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m73.slot_016,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
尸王,89,6,金创药(中量) ×3,920044,1/1,3,dpv2.direct.m89.v505_0023,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
尸王,89,8,魔法药(中量) ×3,920052,1/1,3,dpv2.direct.m89.v505_0028,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
尸王,89,9,太阳水 ×5,920014,1/2,5,dpv2.direct.m89.v505_0013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
尸王,89,10,强效太阳水 ×3,920016,1/2,3,dpv2.direct.m89.v505_0002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
尸王,89,11,超级金创药 ×2,920017,1/2,2,dpv2.direct.m89.v505_0026,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
尸王,89,12,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m89.v505_0031,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
尸王,89,18,太阳水 ×5,920014,1/4,5,dpv2.direct.m89.v505_0018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
尸王,89,19,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m89.v505_0005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶钳虫,120,6,超级金创药 ×3,920017,1/1,3,dpv2.direct.m120.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶钳虫,120,7,超级魔法药 ×3,920042,1/1,3,dpv2.direct.m120.slot_021,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶钳虫,120,8,金创药(中量) ×2,920044,1/1,2,dpv2.direct.m120.v505_0032,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶钳虫,120,10,魔法药(中量) ×2,920052,1/1,2,dpv2.direct.m120.v505_0037,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶钳虫,120,16,太阳水 ×7,920014,1/2,7,dpv2.direct.m120.v505_0018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶钳虫,120,17,强效太阳水 ×5,920016,1/2,5,dpv2.direct.m120.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶钳虫,120,22,超级金创药 ×5,920017,1/2,5,dpv2.direct.m120.slot_024,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶钳虫,120,23,超级魔法药 ×5,920042,1/2,5,dpv2.direct.m120.slot_029,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶钳虫,120,42,太阳水 ×7,920014,1/4,7,dpv2.direct.m120.v505_0025,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶钳虫,120,43,强效太阳水 ×5,920016,1/4,5,dpv2.direct.m120.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,6,超级金创药 ×3,920017,1/1,3,dpv2.direct.m135.slot_015,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,7,超级魔法药 ×3,920042,1/1,3,dpv2.direct.m135.slot_021,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,8,金创药(中量) ×3,920044,1/1,3,dpv2.direct.m135.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,10,魔法药(中量) ×3,920052,1/1,3,dpv2.direct.m135.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,11,太阳水 ×5,920014,1/2,5,dpv2.direct.m135.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,12,强效太阳水 ×5,920016,1/2,5,dpv2.direct.m135.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,13,超级金创药 ×6,920017,1/2,6,dpv2.direct.m135.slot_034,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,14,超级魔法药 ×6,920042,1/2,6,dpv2.direct.m135.slot_040,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,25,降魔 ×2,96,1/3,2,dpv2.direct.m135.slot_049,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,30,太阳水 ×5,920014,1/4,5,dpv2.direct.m135.slot_029,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
白野猪,135,31,强效太阳水 ×5,920016,1/4,5,dpv2.direct.m135.slot_024,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶毒蛇,141,6,超级金创药 ×8,920017,1/1,8,dpv2.direct.m141.slot_020,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶毒蛇,141,7,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m141.slot_023,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶毒蛇,141,9,太阳水 ×8,920014,1/2,8,dpv2.direct.m141.v505_0018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶毒蛇,141,10,强效太阳水 ×8,920016,1/2,8,dpv2.direct.m141.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶毒蛇,141,11,超级金创药 ×2,920017,1/2,2,dpv2.direct.m141.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶毒蛇,141,12,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m141.slot_021,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶毒蛇,141,13,太阳水 ×2,920014,1/4,2,dpv2.direct.m141.v505_0026,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
邪恶毒蛇,141,14,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m141.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,6,超级金创药 ×3,920017,1/1,3,dpv2.direct.m188.slot_024,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,7,超级魔法药 ×3,920042,1/1,3,dpv2.direct.m188.slot_030,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,8,金创药(中量) ×3,920044,1/1,3,dpv2.direct.m188.v505_0028,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,10,魔法药(中量) ×3,920052,1/1,3,dpv2.direct.m188.v505_0034,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,11,太阳水 ×5,920014,1/2,5,dpv2.direct.m188.v505_0018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,12,强效太阳水 ×5,920016,1/2,5,dpv2.direct.m188.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,13,超级金创药 ×6,920017,1/2,6,dpv2.direct.m188.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,14,超级魔法药 ×6,920042,1/2,6,dpv2.direct.m188.slot_021,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,25,降魔 ×2,96,1/60,2,dpv2.direct.m188.v505_0109,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,30,太阳水 ×5,920014,1/4,5,dpv2.direct.m188.v505_0023,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔猪卫,188,31,强效太阳水 ×5,920016,1/4,5,dpv2.direct.m188.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔蝎卫,191,6,超级金创药 ×8,920017,1/1,8,dpv2.direct.m191.slot_020,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔蝎卫,191,7,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m191.slot_023,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔蝎卫,191,9,太阳水 ×8,920014,1/2,8,dpv2.direct.m191.v505_0018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔蝎卫,191,10,强效太阳水 ×8,920016,1/2,8,dpv2.direct.m191.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔蝎卫,191,11,超级金创药 ×2,920017,1/2,2,dpv2.direct.m191.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔蝎卫,191,12,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m191.slot_021,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔蝎卫,191,13,太阳水 ×2,920014,1/4,2,dpv2.direct.m191.v505_0026,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔蝎卫,191,14,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m191.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛教主,76,6,超级金创药 ×8,920017,1/1,8,dpv2.direct.m76.v505_0028,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛教主,76,7,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m76.v505_0038,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛教主,76,10,太阳水 ×8,920014,1/2,8,dpv2.direct.m76.v505_0018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛教主,76,12,强效太阳水 ×8,920016,1/2,8,dpv2.direct.m76.v505_0008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛教主,76,21,超级金创药 ×2,920017,1/2,2,dpv2.direct.m76.v505_0036,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛教主,76,22,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m76.v505_0046,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛教主,76,33,太阳水 ×2,920014,1/4,2,dpv2.direct.m76.v505_0026,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
沃玛教主,76,34,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m76.v505_0016,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
触龙神,124,6,超级金创药 ×8,920017,1/1,8,dpv2.direct.m124.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
触龙神,124,7,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m124.slot_026,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
触龙神,124,9,太阳水 ×8,920014,1/2,8,dpv2.direct.m124.slot_010,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
触龙神,124,10,强效太阳水 ×8,920016,1/2,8,dpv2.direct.m124.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
触龙神,124,11,超级金创药 ×2,920017,1/2,2,dpv2.direct.m124.slot_038,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
触龙神,124,12,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m124.slot_040,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
触龙神,124,13,太阳水 ×2,920014,1/4,2,dpv2.direct.m124.slot_036,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
触龙神,124,14,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m124.slot_034,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
石墓尸王,143,6,超级金创药 ×8,920017,1/1,8,dpv2.direct.m143.slot_030,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
石墓尸王,143,7,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m143.slot_040,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
石墓尸王,143,9,太阳水 ×8,920014,1/2,8,dpv2.direct.m143.slot_020,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
石墓尸王,143,10,强效太阳水 ×8,920016,1/2,8,dpv2.direct.m143.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
石墓尸王,143,11,超级金创药 ×2,920017,1/2,2,dpv2.direct.m143.slot_028,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
石墓尸王,143,12,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m143.slot_038,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
石墓尸王,143,13,太阳水 ×2,920014,1/4,2,dpv2.direct.m143.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
石墓尸王,143,14,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m143.slot_016,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛教主,160,7,超级金创药 ×8,920017,1/1,8,dpv2.direct.m160.v505_0022,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛教主,160,8,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m160.v505_0032,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛教主,160,12,强效太阳水 ×10,920016,1/2,10,dpv2.direct.m160.v505_0002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛教主,160,19,超级金创药 ×2,920017,1/2,2,dpv2.direct.m160.v505_0030,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛教主,160,20,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m160.v505_0040,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛教主,160,30,强效太阳水 ×10,920016,1/4,10,dpv2.direct.m160.v505_0012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,7,超级金创药 ×3,920017,1/1,3,dpv2.direct.m162.slot_031,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,8,超级魔法药 ×3,920042,1/1,3,dpv2.direct.m162.slot_036,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,9,金创药(中量) ×2,920044,1/1,2,dpv2.direct.m162.v505_0040,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,11,魔法药(中量) ×2,920052,1/1,2,dpv2.direct.m162.v505_0045,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,17,太阳水 ×7,920014,1/2,7,dpv2.direct.m162.v505_0026,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,18,强效太阳水 ×5,920016,1/2,5,dpv2.direct.m162.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,22,疗伤药 ×7,910007,1/2,7,dpv2.direct.m162.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,24,超级金创药 ×5,920017,1/2,5,dpv2.direct.m162.slot_025,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,25,超级魔法药 ×5,920042,1/2,5,dpv2.direct.m162.slot_028,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,43,太阳水 ×7,920014,1/4,7,dpv2.direct.m162.v505_0033,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头血魔,162,44,强效太阳水 ×5,920016,1/4,5,dpv2.direct.m162.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,7,超级金创药 ×3,920017,1/1,3,dpv2.direct.m163.slot_031,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,8,超级魔法药 ×3,920042,1/1,3,dpv2.direct.m163.slot_036,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,9,金创药(中量) ×2,920044,1/1,2,dpv2.direct.m163.v505_0040,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,11,魔法药(中量) ×2,920052,1/1,2,dpv2.direct.m163.v505_0045,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,17,太阳水 ×7,920014,1/2,7,dpv2.direct.m163.v505_0026,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,18,强效太阳水 ×5,920016,1/2,5,dpv2.direct.m163.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,22,疗伤药 ×7,910007,1/2,7,dpv2.direct.m163.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,24,超级金创药 ×5,920017,1/2,5,dpv2.direct.m163.slot_025,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,25,超级魔法药 ×5,920042,1/2,5,dpv2.direct.m163.slot_028,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,44,太阳水 ×7,920014,1/4,7,dpv2.direct.m163.v505_0033,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
双头金刚,163,45,强效太阳水 ×5,920016,1/4,5,dpv2.direct.m163.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
赤月恶魔,180,6,疗伤药 ×4,910007,1/1,4,dpv2.direct.m180.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
赤月恶魔,180,7,祝福油 ×2,920033,1/1,2,dpv2.direct.m180.slot_043,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
赤月恶魔,180,8,超级金创药 ×8,920017,1/1,8,dpv2.direct.m180.slot_031,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
赤月恶魔,180,9,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m180.slot_038,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
赤月恶魔,180,13,强效太阳水 ×10,920016,1/2,10,dpv2.direct.m180.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
赤月恶魔,180,19,超级金创药 ×2,920017,1/2,2,dpv2.direct.m180.slot_029,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
赤月恶魔,180,20,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m180.slot_036,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
赤月恶魔,180,36,强效太阳水 ×10,920016,1/4,10,dpv2.direct.m180.slot_019,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,6,超级金创药 ×3,920017,1/1,3,dpv2.direct.m193.slot_027,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,7,超级魔法药 ×3,920042,1/1,3,dpv2.direct.m193.slot_034,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,8,金创药(中量) ×2,920044,1/1,2,dpv2.direct.m193.v505_0040,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,10,魔法药(中量) ×2,920052,1/1,2,dpv2.direct.m193.v505_0045,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,16,太阳水 ×7,920014,1/2,7,dpv2.direct.m193.v505_0026,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,17,强效太阳水 ×5,920016,1/2,5,dpv2.direct.m193.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,21,疗伤药 ×7,910007,1/2,7,dpv2.direct.m193.v505_0019,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,24,超级金创药 ×5,920017,1/2,5,dpv2.direct.m193.slot_022,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,25,超级魔法药 ×5,920042,1/2,5,dpv2.direct.m193.slot_029,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,44,太阳水 ×7,920014,1/4,7,dpv2.direct.m193.v505_0033,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
虹魔教主,193,45,强效太阳水 ×5,920016,1/4,5,dpv2.direct.m193.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
千年树妖,195,6,超级金创药 ×8,920017,1/1,8,dpv2.direct.m195.slot_023,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
千年树妖,195,7,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m195.slot_033,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
千年树妖,195,9,太阳水 ×8,920014,1/2,8,dpv2.direct.m195.v505_0018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
千年树妖,195,10,强效太阳水 ×8,920016,1/2,8,dpv2.direct.m195.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
千年树妖,195,11,超级金创药 ×2,920017,1/2,2,dpv2.direct.m195.slot_021,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
千年树妖,195,12,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m195.slot_031,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
千年树妖,195,13,太阳水 ×2,920014,1/4,2,dpv2.direct.m195.v505_0026,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
千年树妖,195,14,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m195.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
